epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,3.2573318481445312,,,
0,0,3.2573318481445312,,,,
1,1,,2.159665107727051,,,
1,1,2.159665107727051,,,,
2,2,,1.408135175704956,,,
2,2,1.408135175704956,,,,
3,3,,0.9409836530685425,,,
3,3,0.9409836530685425,,,,
4,4,,0.6874801516532898,,,
4,4,0.6874801516532898,,,,
5,5,,0.5780271291732788,,,
5,5,0.5780271291732788,,,,
6,6,,0.5538105368614197,,,
6,6,0.5538105368614197,,,,
7,7,,0.5710051655769348,,,
7,7,0.5710051655769348,,,,
8,8,,0.6001890897750854,,,
8,8,0.6001890897750854,,,,
9,9,,0.6242213249206543,,,
9,9,0.6242213249206543,,,,
10,10,,0.6353188157081604,,,
10,10,0.6353188157081604,,,,
11,11,,0.6320779323577881,,,
11,11,0.6320779323577881,,,,
12,12,,0.6169462203979492,,,
12,12,0.6169462203979492,,,,
13,13,,0.5941721796989441,,,
13,13,0.5941721796989441,,,,
14,14,,0.568247377872467,,,
14,14,0.568247377872467,,,,
15,15,,0.5428663492202759,,,
15,15,0.5428663492202759,,,,
16,16,,0.5204044580459595,,,
16,16,0.5204044580459595,,,,
17,17,,0.5018541216850281,,,
17,17,0.5018541216850281,,,,
18,18,,0.4870973527431488,,,
18,18,0.4870973527431488,,,,
19,19,,0.47534722089767456,,,
19,19,0.47534722089767456,,,,
20,20,,0.4655957520008087,,,
20,20,0.4655957520008087,,,,
21,21,,0.4569545388221741,,,
21,21,0.4569545388221741,,,,
22,22,,0.44884154200553894,,,
22,22,0.44884154200553894,,,,
23,23,,0.4410279095172882,,,
23,23,0.4410279095172882,,,,
24,24,,0.43358445167541504,,,
24,24,0.43358445167541504,,,,
25,25,,0.42677393555641174,,,
25,25,0.42677393555641174,,,,
26,26,,0.42092809081077576,,,
26,26,0.42092809081077576,,,,
27,27,,0.4163362383842468,,,
27,27,0.4163362383842468,,,,
28,28,,0.41316303610801697,,,
