epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,3.2512755393981934,,,
0,0,3.2512755393981934,,,,
1,1,,2.1567301750183105,,,
1,1,2.1567301750183105,,,,
2,2,,1.4070159196853638,,,
2,2,1.4070159196853638,,,,
3,3,,0.9407976865768433,,,
3,3,0.9407976865768433,,,,
4,4,,0.6876480579376221,,,
4,4,0.6876480579376221,,,,
5,5,,0.5781981945037842,,,
5,5,0.5781981945037842,,,,
6,6,,0.5537897348403931,,,
6,6,0.5537897348403931,,,,
7,7,,0.5707124471664429,,,
7,7,0.5707124471664429,,,,
8,8,,0.5996364951133728,,,
8,8,0.5996364951133728,,,,
9,9,,0.6234840154647827,,,
9,9,0.6234840154647827,,,,
10,10,,0.6344993710517883,,,
10,10,0.6344993710517883,,,,
11,11,,0.6312770247459412,,,
11,11,0.6312770247459412,,,,
12,12,,0.6162434816360474,,,
12,12,0.6162434816360474,,,,
13,13,,0.5936175584793091,,,
13,13,0.5936175584793091,,,,
14,14,,0.5678603053092957,,,
14,14,0.5678603053092957,,,,
15,15,,0.5426390767097473,,,
15,15,0.5426390767097473,,,,
16,16,,0.520308792591095,,,
16,16,0.520308792591095,,,,
17,17,,0.5018491148948669,,,
17,17,0.5018491148948669,,,,
18,18,,0.48713845014572144,,,
18,18,0.48713845014572144,,,,
19,19,,0.47539451718330383,,,
19,19,0.47539451718330383,,,,
20,20,,0.46561944484710693,,,
20,20,0.46561944484710693,,,,
21,21,,0.45693743228912354,,,
21,21,0.45693743228912354,,,,
22,22,,0.4487786889076233,,,
22,22,0.4487786889076233,,,,
23,23,,0.4409245550632477,,,
23,23,0.4409245550632477,,,,
24,24,,0.4334522485733032,,,
24,24,0.4334522485733032,,,,
25,25,,0.42662790417671204,,,
25,25,0.42662790417671204,,,,
26,26,,0.4207831025123596,,,
26,26,0.4207831025123596,,,,
27,27,,0.41620463132858276,,,
27,27,0.41620463132858276,,,,
28,28,,0.41305339336395264,,,
28,28,0.41305339336395264,,,,
29,29,,0.41132020950317383,,,
29,29,0.41132020950317383,,,,
30,30,,0.4108203649520874,,,
30,30,0.4108203649520874,,,,
31,31,,0.4112226963043213,,,
31,31,0.4112226963043213,,,,
32,32,,0.4121037721633911,,,
32,32,0.4121037721633911,,,,
33,33,,0.41301536560058594,,,
33,33,0.41301536560058594,,,,
34,34,,0.4135519564151764,,,
34,34,0.4135519564151764,,,,
35,35,,0.4134071469306946,,,
35,35,0.4134071469306946,,,,
36,36,,0.4124090075492859,,,
36,36,0.4124090075492859,,,,
37,37,,0.4105319082736969,,,
37,37,0.4105319082736969,,,,
38,38,,0.40788495540618896,,,
38,38,0.40788495540618896,,,,
39,39,,0.4046808183193207,,,
39,39,0.4046808183193207,,,,
40,40,,0.4011938273906708,,,
40,40,0.4011938273906708,,,,
41,41,,0.3977130055427551,,,
41,41,0.3977130055427551,,,,
42,42,,0.3944992125034332,,,
42,42,0.3944992125034332,,,,
43,43,,0.39175134897232056,,,
43,43,0.39175134897232056,,,,
44,44,,0.3895859718322754,,,
44,44,0.3895859718322754,,,,
45,45,,0.3880317509174347,,,
45,45,0.3880317509174347,,,,
46,46,,0.38703763484954834,,,
46,46,0.38703763484954834,,,,
47,47,,0.38649243116378784,,,
47,47,0.38649243116378784,,,,
48,48,,0.38625144958496094,,,
48,48,0.38625144958496094,,,,
49,49,,0.3861633539199829,,,
49,49,0.3861633539199829,,,,
50,50,,0.3860953152179718,,,
50,50,0.3860953152179718,,,,
51,51,,0.3859502077102661,,,
51,51,0.3859502077102661,,,,
52,52,,0.3856743574142456,,,
52,52,0.3856743574142456,,,,
53,53,,0.3852567672729492,,,
53,53,0.3852567672729492,,,,
54,54,,0.3847205638885498,,,
54,54,0.3847205638885498,,,,
55,55,,0.38410934805870056,,,
55,55,0.38410934805870056,,,,
56,56,,0.3834735155105591,,,
56,56,0.3834735155105591,,,,
57,57,,0.3828572630882263,,,
57,57,0.3828572630882263,,,,
58,58,,0.3822907507419586,,,
58,58,0.3822907507419586,,,,
59,59,,0.38178661465644836,,,
59,59,0.38178661465644836,,,,
60,60,,0.3813420236110687,,,
60,60,0.3813420236110687,,,,
61,61,,0.3809433877468109,,,
61,61,0.3809433877468109,,,,
