epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,1.1526905298233032,,,
0,0,1.1526905298233032,,,,
1,1,,0.8366590738296509,,,
1,1,0.8366590738296509,,,,
2,2,,0.6532315015792847,,,
2,2,0.6532315015792847,,,,
3,3,,0.5673165321350098,,,
3,3,0.5673165321350098,,,,
4,4,,0.5299062728881836,,,
4,4,0.5299062728881836,,,,
5,5,,0.5044912099838257,,,
5,5,0.5044912099838257,,,,
6,6,,0.4768443703651428,,,
6,6,0.4768443703651428,,,,
7,7,,0.447273313999176,,,
7,7,0.447273313999176,,,,
8,8,,0.4214147627353668,,,
8,8,0.4214147627353668,,,,
9,9,,0.40471675992012024,,,
9,9,0.40471675992012024,,,,
10,10,,0.3997015953063965,,,
10,10,0.3997015953063965,,,,
11,11,,0.4049470126628876,,,
11,11,0.4049470126628876,,,,
12,12,,0.4157099723815918,,,
12,12,0.4157099723815918,,,,
13,13,,0.42613741755485535,,,
13,13,0.42613741755485535,,,,
14,14,,0.43177956342697144,,,
14,14,0.43177956342697144,,,,
15,15,,0.43086564540863037,,,
15,15,0.43086564540863037,,,,
16,16,,0.42407816648483276,,,
16,16,0.42407816648483276,,,,
17,17,,0.41354188323020935,,,
17,17,0.41354188323020935,,,,
18,18,,0.40173009037971497,,,
18,18,0.40173009037971497,,,,
19,19,,0.39064648747444153,,,
19,19,0.39064648747444153,,,,
20,20,,0.38139045238494873,,,
20,20,0.38139045238494873,,,,
21,21,,0.37410470843315125,,,
21,21,0.37410470843315125,,,,
22,22,,0.3682354986667633,,,
22,22,0.3682354986667633,,,,
23,23,,0.36297428607940674,,,
23,23,0.36297428607940674,,,,
24,24,,0.357699453830719,,,
24,24,0.357699453830719,,,,
25,25,,0.352247953414917,,,
25,25,0.352247953414917,,,,
26,26,,0.3469298481941223,,,
26,26,0.3469298481941223,,,,
27,27,,0.34231340885162354,,,
27,27,0.34231340885162354,,,,
28,28,,0.33889997005462646,,,
28,28,0.33889997005462646,,,,
