epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,3.24379825592041,,,
0,0,3.24379825592041,,,,
1,1,,2.1501898765563965,,,
1,1,2.1501898765563965,,,,
2,2,,1.4012670516967773,,,
2,2,1.4012670516967773,,,,
3,3,,0.9365922212600708,,,
3,3,0.9365922212600708,,,,
4,4,,0.6861908435821533,,,
4,4,0.6861908435821533,,,,
5,5,,0.5805112719535828,,,
5,5,0.5805112719535828,,,,
6,6,,0.560249388217926,,,
6,6,0.560249388217926,,,,
7,7,,0.5809109807014465,,,
7,7,0.5809109807014465,,,,
8,8,,0.6126230359077454,,,
8,8,0.6126230359077454,,,,
9,9,,0.6381497979164124,,,
9,9,0.6381497979164124,,,,
10,10,,0.649867057800293,,,
10,10,0.649867057800293,,,,
11,11,,0.646635115146637,,,
11,11,0.646635115146637,,,,
12,12,,0.6311638951301575,,,
12,12,0.6311638951301575,,,,
13,13,,0.6079096794128418,,,
13,13,0.6079096794128418,,,,
14,14,,0.5815020203590393,,,
14,14,0.5815020203590393,,,,
15,15,,0.5557115077972412,,,
15,15,0.5557115077972412,,,,
16,16,,0.5329450964927673,,,
16,16,0.5329450964927673,,,,
17,17,,0.5142005085945129,,,
17,17,0.5142005085945129,,,,
18,18,,0.49935200810432434,,,
18,18,0.49935200810432434,,,,
19,19,,0.4876008927822113,,,
19,19,0.4876008927822113,,,,
20,20,,0.477925568819046,,,
20,20,0.477925568819046,,,,
21,21,,0.4694225788116455,,,
21,21,0.4694225788116455,,,,
22,22,,0.46149367094039917,,,
22,22,0.46149367094039917,,,,
23,23,,0.45389267802238464,,,
23,23,0.45389267802238464,,,,
24,24,,0.446672648191452,,,
24,24,0.446672648191452,,,,
25,25,,0.44007956981658936,,,
25,25,0.44007956981658936,,,,
26,26,,0.43443018198013306,,,
26,26,0.43443018198013306,,,,
27,27,,0.4300016760826111,,,
27,27,0.4300016760826111,,,,
28,28,,0.42695003747940063,,,
28,28,0.42695003747940063,,,,
29,29,,0.42526593804359436,,,
29,29,0.42526593804359436,,,,
30,30,,0.42476776242256165,,,
30,30,0.42476776242256165,,,,
31,31,,0.42513057589530945,,,
31,31,0.42513057589530945,,,,
32,32,,0.42593914270401,,,
32,32,0.42593914270401,,,,
33,33,,0.4267546534538269,,,
33,33,0.4267546534538269,,,,
