epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,69897.5703125,,,
0,0,69897.5703125,,,,
1,1,,68063.078125,,,
1,1,68063.078125,,,,
2,2,,66567.8046875,,,
2,2,66567.8046875,,,,
3,3,,65336.203125,,,
3,3,65336.203125,,,,
4,4,,64309.0703125,,,
4,4,64309.0703125,,,,
5,5,,63441.0078125,,,
5,5,63441.0078125,,,,
6,6,,62695.4921875,,,
6,6,62695.4921875,,,,
7,7,,62041.8203125,,,
7,7,62041.8203125,,,,
8,8,,61454.125,,,
8,8,61454.125,,,,
9,9,,60911.140625,,,
9,9,60911.140625,,,,
10,10,,60396.2734375,,,
10,10,60396.2734375,,,,
11,11,,59897.609375,,,
11,11,59897.609375,,,,
12,12,,59407.66015625,,,
12,12,59407.66015625,,,,
13,13,,58922.74609375,,,
13,13,58922.74609375,,,,
14,14,,58442.26171875,,,
14,14,58442.26171875,,,,
15,15,,57967.84375,,,
15,15,57967.84375,,,,
16,16,,57502.67578125,,,
16,16,57502.67578125,,,,
17,17,,57050.875,,,
17,17,57050.875,,,,
18,18,,56617.015625,,,
18,18,56617.015625,,,,
19,19,,56205.7421875,,,
19,19,56205.7421875,,,,
20,20,,55821.34375,,,
20,20,55821.34375,,,,
21,21,,55467.421875,,,
21,21,55467.421875,,,,
22,22,,55146.46484375,,,
22,22,55146.46484375,,,,
23,23,,54859.45703125,,,
23,23,54859.45703125,,,,
24,24,,54605.55078125,,,
24,24,54605.55078125,,,,
25,25,,54382.015625,,,
25,25,54382.015625,,,,
26,26,,54184.5546875,,,
26,26,54184.5546875,,,,
27,27,,54008.0703125,,,
27,27,54008.0703125,,,,
28,28,,53847.6484375,,,
28,28,53847.6484375,,,,
29,29,,53699.4609375,,,
29,29,53699.4609375,,,,
30,30,,53561.171875,,,
30,30,53561.171875,,,,
31,31,,53431.96484375,,,
31,31,53431.96484375,,,,
32,32,,53312.10546875,,,
32,32,53312.10546875,,,,
33,33,,53202.421875,,,
33,33,53202.421875,,,,
34,34,,53103.7734375,,,
34,34,53103.7734375,,,,
35,35,,53016.55859375,,,
35,35,53016.55859375,,,,
36,36,,52940.4765625,,,
36,36,52940.4765625,,,,
37,37,,52874.4375,,,
37,37,52874.4375,,,,
38,38,,52816.6796875,,,
38,38,52816.6796875,,,,
39,39,,52765.0078125,,,
39,39,52765.0078125,,,,
40,40,,52717.09375,,,
40,40,52717.09375,,,,
41,41,,52670.73828125,,,
41,41,52670.73828125,,,,
42,42,,52624.01953125,,,
42,42,52624.01953125,,,,
43,43,,52575.4140625,,,
43,43,52575.4140625,,,,
44,44,,52523.84375,,,
44,44,52523.84375,,,,
45,45,,52468.66015625,,,
45,45,52468.66015625,,,,
46,46,,52409.5703125,,,
46,46,52409.5703125,,,,
47,47,,52346.5703125,,,
47,47,52346.5703125,,,,
48,48,,52279.77734375,,,
48,48,52279.77734375,,,,
49,49,,52209.3671875,,,
49,49,52209.3671875,,,,
50,50,,52135.40625,,,
50,50,52135.40625,,,,
51,51,,52057.8515625,,,
51,51,52057.8515625,,,,
52,52,,51976.46875,,,
52,52,51976.46875,,,,
53,53,,51890.83984375,,,
53,53,51890.83984375,,,,
54,54,,51800.4453125,,,
54,54,51800.4453125,,,,
55,55,,51704.625,,,
55,55,51704.625,,,,
56,56,,51602.70703125,,,
56,56,51602.70703125,,,,
57,57,,51494.00390625,,,
57,57,51494.00390625,,,,
58,58,,51377.8984375,,,
58,58,51377.8984375,,,,
59,59,,51253.8046875,,,
59,59,51253.8046875,,,,
60,60,,51121.1953125,,,
60,60,51121.1953125,,,,
61,61,,50979.5390625,,,
61,61,50979.5390625,,,,
62,62,,50828.27734375,,,
62,62,50828.27734375,,,,
63,63,,50666.77734375,,,
63,63,50666.77734375,,,,
64,64,,50494.34375,,,
64,64,50494.34375,,,,
65,65,,50310.16796875,,,
65,65,50310.16796875,,,,
66,66,,50113.37890625,,,
66,66,50113.37890625,,,,
67,67,,49903.03515625,,,
67,67,49903.03515625,,,,
68,68,,49678.14453125,,,
68,68,49678.14453125,,,,
69,69,,49437.69140625,,,
69,69,49437.69140625,,,,
70,70,,49180.62109375,,,
70,70,49180.62109375,,,,
71,71,,48905.85546875,,,
71,71,48905.85546875,,,,
72,72,,48612.26953125,,,
72,72,48612.26953125,,,,
73,73,,48298.6796875,,,
73,73,48298.6796875,,,,
74,74,,47963.82421875,,,
74,74,47963.82421875,,,,
75,75,,47606.3984375,,,
75,75,47606.3984375,,,,
76,76,,47225.03125,,,
76,76,47225.03125,,,,
77,77,,46818.32421875,,,
77,77,46818.32421875,,,,
78,78,,46384.8671875,,,
78,78,46384.8671875,,,,
79,79,,45923.2734375,,,
79,79,45923.2734375,,,,
80,80,,45432.1875,,,
80,80,45432.1875,,,,
81,81,,44910.30078125,,,
81,81,44910.30078125,,,,
82,82,,44356.40625,,,
82,82,44356.40625,,,,
83,83,,43769.38671875,,,
83,83,43769.38671875,,,,
84,84,,43148.28515625,,,
84,84,43148.28515625,,,,
85,85,,42492.359375,,,
85,85,42492.359375,,,,
86,86,,41801.1015625,,,
86,86,41801.1015625,,,,
87,87,,41074.296875,,,
87,87,41074.296875,,,,
88,88,,40312.0,,,
88,88,40312.0,,,,
89,89,,39514.5703125,,,
89,89,39514.5703125,,,,
90,90,,38682.640625,,,
90,90,38682.640625,,,,
91,91,,37817.1484375,,,
91,91,37817.1484375,,,,
92,92,,36919.2890625,,,
92,92,36919.2890625,,,,
93,93,,35990.52734375,,,
93,93,35990.52734375,,,,
94,94,,35032.578125,,,
94,94,35032.578125,,,,
95,95,,34047.3828125,,,
95,95,34047.3828125,,,,
96,96,,33037.09765625,,,
96,96,33037.09765625,,,,
97,97,,32004.091796875,,,
97,97,32004.091796875,,,,
98,98,,30950.9609375,,,
98,98,30950.9609375,,,,
99,99,,29880.533203125,,,
99,99,29880.533203125,,,,
100,100,,28795.888671875,,,
100,100,28795.888671875,,,,
101,101,,27700.33203125,,,
101,101,27700.33203125,,,,
102,102,,26597.451171875,,,
102,102,26597.451171875,,,,
103,103,,25491.134765625,,,
103,103,25491.134765625,,,,
104,104,,24385.62890625,,,
104,104,24385.62890625,,,,
105,105,,23285.607421875,,,
105,105,23285.607421875,,,,
106,106,,22196.25,,,
106,106,22196.25,,,,
107,107,,21123.341796875,,,
107,107,21123.341796875,,,,
108,108,,20073.306640625,,,
108,108,20073.306640625,,,,
109,109,,19053.26953125,,,
109,109,19053.26953125,,,,
110,110,,18071.029296875,,,
110,110,18071.029296875,,,,
111,111,,17134.97265625,,,
111,111,17134.97265625,,,,
112,112,,16253.896484375,,,
112,112,16253.896484375,,,,
113,113,,15436.6787109375,,,
113,113,15436.6787109375,,,,
114,114,,14691.8056640625,,,
114,114,14691.8056640625,,,,
115,115,,14026.7412109375,,,
115,115,14026.7412109375,,,,
116,116,,13447.1416015625,,,
116,116,13447.1416015625,,,,
117,117,,12956.0234375,,,
117,117,12956.0234375,,,,
118,118,,12552.9599609375,,,
118,118,12552.9599609375,,,,
119,119,,12233.4208984375,,,
119,119,12233.4208984375,,,,
120,120,,11988.4638671875,,,
120,120,11988.4638671875,,,,
121,121,,11804.9306640625,,,
121,121,11804.9306640625,,,,
122,122,,11666.298828125,,,
122,122,11666.298828125,,,,
123,123,,11554.203125,,,
123,123,11554.203125,,,,
124,124,,11450.4365234375,,,
124,124,11450.4365234375,,,,
125,125,,11339.130859375,,,
125,125,11339.130859375,,,,
126,126,,11208.7431640625,,,
126,126,11208.7431640625,,,,
127,127,,11053.4287109375,,,
127,127,11053.4287109375,,,,
128,128,,10873.466796875,,,
128,128,10873.466796875,,,,
129,129,,10674.59375,,,
129,129,10674.59375,,,,
130,130,,10466.3779296875,,,
130,130,10466.3779296875,,,,
131,131,,10260.0283203125,,,
131,131,10260.0283203125,,,,
132,132,,10066.0654296875,,,
132,132,10066.0654296875,,,,
133,133,,9892.35546875,,,
133,133,9892.35546875,,,,
134,134,,9742.9794921875,,,
134,134,9742.9794921875,,,,
135,135,,9618.125,,,
135,135,9618.125,,,,
136,136,,9514.8505859375,,,
136,136,9514.8505859375,,,,
137,137,,9428.3896484375,,,
137,137,9428.3896484375,,,,
138,138,,9353.52734375,,,
138,138,9353.52734375,,,,
139,139,,9285.7216796875,,,
139,139,9285.7216796875,,,,
140,140,,9221.724609375,,,
140,140,9221.724609375,,,,
141,141,,9159.7177734375,,,
141,141,9159.7177734375,,,,
142,142,,9099.1162109375,,,
142,142,9099.1162109375,,,,
143,143,,9040.19921875,,,
143,143,9040.19921875,,,,
144,144,,8983.8525390625,,,
144,144,8983.8525390625,,,,
145,145,,8931.4208984375,,,
145,145,8931.4208984375,,,,
146,146,,8883.8759765625,,,
146,146,8883.8759765625,,,,
147,147,,8839.677734375,,,
147,147,8839.677734375,,,,
148,148,,8793.2939453125,,,
148,148,8793.2939453125,,,,
149,149,,8748.05859375,,,
149,149,8748.05859375,,,,
150,150,,8712.16015625,,,
150,150,8712.16015625,,,,
151,151,,8682.2900390625,,,
151,151,8682.2900390625,,,,
152,152,,8649.5390625,,,
152,152,8649.5390625,,,,
153,153,,8615.5390625,,,
153,153,8615.5390625,,,,
154,154,,8587.5751953125,,,
154,154,8587.5751953125,,,,
155,155,,8561.8359375,,,
155,155,8561.8359375,,,,
156,156,,8532.0986328125,,,
156,156,8532.0986328125,,,,
157,157,,8502.8984375,,,
157,157,8502.8984375,,,,
158,158,,8477.712890625,,,
158,158,8477.712890625,,,,
159,159,,8451.40234375,,,
159,159,8451.40234375,,,,
160,160,,8423.1962890625,,,
160,160,8423.1962890625,,,,
161,161,,8397.7587890625,,,
161,161,8397.7587890625,,,,
162,162,,8373.64453125,,,
162,162,8373.64453125,,,,
163,163,,8347.6396484375,,,
163,163,8347.6396484375,,,,
164,164,,8322.4111328125,,,
164,164,8322.4111328125,,,,
165,165,,8298.96484375,,,
165,165,8298.96484375,,,,
166,166,,8274.2978515625,,,
166,166,8274.2978515625,,,,
167,167,,8249.05859375,,,
167,167,8249.05859375,,,,
168,168,,8225.2109375,,,
168,168,8225.2109375,,,,
169,169,,8201.0732421875,,,
169,169,8201.0732421875,,,,
170,170,,8176.046875,,,
170,170,8176.046875,,,,
171,171,,8151.8916015625,,,
171,171,8151.8916015625,,,,
172,172,,8128.18603515625,,,
172,172,8128.18603515625,,,,
173,173,,8103.76708984375,,,
173,173,8103.76708984375,,,,
174,174,,8079.5791015625,,,
174,174,8079.5791015625,,,,
175,175,,8056.02734375,,,
175,175,8056.02734375,,,,
176,176,,8032.07470703125,,,
