epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,16619.296875,,,
0,0,16619.296875,,,,
1,1,,15688.44140625,,,
1,1,15688.44140625,,,,
2,2,,14959.591796875,,,
2,2,14959.591796875,,,,
3,3,,14386.2958984375,,,
3,3,14386.2958984375,,,,
4,4,,13933.5888671875,,,
4,4,13933.5888671875,,,,
5,5,,13575.5068359375,,,
5,5,13575.5068359375,,,,
6,6,,13292.27734375,,,
6,6,13292.27734375,,,,
7,7,,13068.125,,,
7,7,13068.125,,,,
8,8,,12889.9541015625,,,
8,8,12889.9541015625,,,,
9,9,,12746.7734375,,,
9,9,12746.7734375,,,,
10,10,,12629.619140625,,,
10,10,12629.619140625,,,,
11,11,,12531.5771484375,,,
11,11,12531.5771484375,,,,
12,12,,12447.671875,,,
12,12,12447.671875,,,,
13,13,,12374.5146484375,,,
13,13,12374.5146484375,,,,
14,14,,12309.849609375,,,
14,14,12309.849609375,,,,
15,15,,12252.1171875,,,
15,15,12252.1171875,,,,
16,16,,12200.09765625,,,
16,16,12200.09765625,,,,
17,17,,12152.7568359375,,,
17,17,12152.7568359375,,,,
18,18,,12109.244140625,,,
18,18,12109.244140625,,,,
19,19,,12068.9619140625,,,
19,19,12068.9619140625,,,,
20,20,,12031.5859375,,,
20,20,12031.5859375,,,,
21,21,,11997.01171875,,,
21,21,11997.01171875,,,,
22,22,,11965.251953125,,,
22,22,11965.251953125,,,,
23,23,,11936.3271484375,,,
23,23,11936.3271484375,,,,
24,24,,11910.1923828125,,,
24,24,11910.1923828125,,,,
25,25,,11886.705078125,,,
25,25,11886.705078125,,,,
26,26,,11865.6357421875,,,
26,26,11865.6357421875,,,,
27,27,,11846.7216796875,,,
27,27,11846.7216796875,,,,
28,28,,11829.7021484375,,,
28,28,11829.7021484375,,,,
29,29,,11814.345703125,,,
29,29,11814.345703125,,,,
30,30,,11800.4560546875,,,
30,30,11800.4560546875,,,,
31,31,,11787.857421875,,,
31,31,11787.857421875,,,,
32,32,,11776.39453125,,,
32,32,11776.39453125,,,,
33,33,,11765.9306640625,,,
33,33,11765.9306640625,,,,
34,34,,11756.3447265625,,,
34,34,11756.3447265625,,,,
35,35,,11747.5302734375,,,
35,35,11747.5302734375,,,,
36,36,,11739.416015625,,,
36,36,11739.416015625,,,,
37,37,,11731.9541015625,,,
37,37,11731.9541015625,,,,
38,38,,11725.125,,,
38,38,11725.125,,,,
39,39,,11718.908203125,,,
39,39,11718.908203125,,,,
40,40,,11713.2783203125,,,
40,40,11713.2783203125,,,,
41,41,,11708.1923828125,,,
41,41,11708.1923828125,,,,
42,42,,11703.591796875,,,
42,42,11703.591796875,,,,
43,43,,11699.4140625,,,
43,43,11699.4140625,,,,
44,44,,11695.6123046875,,,
44,44,11695.6123046875,,,,
45,45,,11692.1484375,,,
45,45,11692.1484375,,,,
46,46,,11689.0,,,
46,46,11689.0,,,,
47,47,,11686.14453125,,,
47,47,11686.14453125,,,,
48,48,,11683.5546875,,,
48,48,11683.5546875,,,,
49,49,,11681.205078125,,,
49,49,11681.205078125,,,,
50,50,,11679.0654296875,,,
50,50,11679.0654296875,,,,
51,51,,11677.1181640625,,,
51,51,11677.1181640625,,,,
52,52,,11675.341796875,,,
52,52,11675.341796875,,,,
53,53,,11673.724609375,,,
53,53,11673.724609375,,,,
54,54,,11672.251953125,,,
54,54,11672.251953125,,,,
55,55,,11670.908203125,,,
55,55,11670.908203125,,,,
56,56,,11669.669921875,,,
56,56,11669.669921875,,,,
57,57,,11668.5234375,,,
57,57,11668.5234375,,,,
58,58,,11667.4443359375,,,
58,58,11667.4443359375,,,,
59,59,,11666.4208984375,,,
59,59,11666.4208984375,,,,
60,60,,11665.4404296875,,,
60,60,11665.4404296875,,,,
61,61,,11664.49609375,,,
61,61,11664.49609375,,,,
62,62,,11663.578125,,,
62,62,11663.578125,,,,
63,63,,11662.6796875,,,
63,63,11662.6796875,,,,
