epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,56465.640625,,,
0,0,56465.640625,,,,
1,1,,54859.203125,,,
1,1,54859.203125,,,,
2,2,,53559.78515625,,,
2,2,53559.78515625,,,,
3,3,,52499.45703125,,,
3,3,52499.45703125,,,,
4,4,,51625.29296875,,,
4,4,51625.29296875,,,,
5,5,,50896.83984375,,,
5,5,50896.83984375,,,,
6,6,,50281.92578125,,,
6,6,50281.92578125,,,,
7,7,,49753.9140625,,,
7,7,49753.9140625,,,,
8,8,,49290.30859375,,,
8,8,49290.30859375,,,,
9,9,,48872.37109375,,,
9,9,48872.37109375,,,,
10,10,,48485.1328125,,,
10,10,48485.1328125,,,,
11,11,,48117.53125,,,
11,11,48117.53125,,,,
12,12,,47762.24609375,,,
12,12,47762.24609375,,,,
13,13,,47415.2109375,,,
13,13,47415.2109375,,,,
14,14,,47074.8984375,,,
14,14,47074.8984375,,,,
15,15,,46741.59765625,,,
15,15,46741.59765625,,,,
16,16,,46416.72265625,,,
16,16,46416.72265625,,,,
17,17,,46102.375,,,
17,17,46102.375,,,,
18,18,,45800.98046875,,,
18,18,45800.98046875,,,,
19,19,,45515.046875,,,
19,19,45515.046875,,,,
20,20,,45246.9375,,,
20,20,45246.9375,,,,
21,21,,44998.68359375,,,
21,21,44998.68359375,,,,
22,22,,44771.734375,,,
22,22,44771.734375,,,,
23,23,,44566.7734375,,,
23,23,44566.7734375,,,,
24,24,,44383.46484375,,,
24,24,44383.46484375,,,,
25,25,,44220.44921875,,,
25,25,44220.44921875,,,,
26,26,,44075.4375,,,
26,26,44075.4375,,,,
27,27,,43945.64453125,,,
27,27,43945.64453125,,,,
28,28,,43828.28515625,,,
28,28,43828.28515625,,,,
29,29,,43721.1171875,,,
29,29,43721.1171875,,,,
30,30,,43622.6796875,,,
30,30,43622.6796875,,,,
31,31,,43532.3125,,,
31,31,43532.3125,,,,
32,32,,43449.89453125,,,
32,32,43449.89453125,,,,
33,33,,43375.5234375,,,
33,33,43375.5234375,,,,
34,34,,43309.23046875,,,
34,34,43309.23046875,,,,
35,35,,43250.7734375,,,
35,35,43250.7734375,,,,
36,36,,43199.5546875,,,
36,36,43199.5546875,,,,
37,37,,43154.6171875,,,
37,37,43154.6171875,,,,
38,38,,43114.76171875,,,
38,38,43114.76171875,,,,
39,39,,43078.65625,,,
39,39,43078.65625,,,,
40,40,,43044.9921875,,,
40,40,43044.9921875,,,,
41,41,,43012.5859375,,,
41,41,43012.5859375,,,,
42,42,,42980.4453125,,,
42,42,42980.4453125,,,,
43,43,,42947.81640625,,,
43,43,42947.81640625,,,,
44,44,,42914.15625,,,
44,44,42914.15625,,,,
45,45,,42879.109375,,,
45,45,42879.109375,,,,
46,46,,42842.453125,,,
46,46,42842.453125,,,,
47,47,,42804.078125,,,
47,47,42804.078125,,,,
48,48,,42763.91015625,,,
48,48,42763.91015625,,,,
49,49,,42721.84765625,,,
49,49,42721.84765625,,,,
50,50,,42677.7734375,,,
50,50,42677.7734375,,,,
51,51,,42631.46875,,,
51,51,42631.46875,,,,
52,52,,42582.65625,,,
52,52,42582.65625,,,,
53,53,,42531.0078125,,,
53,53,42531.0078125,,,,
54,54,,42476.1484375,,,
54,54,42476.1484375,,,,
55,55,,42417.7109375,,,
55,55,42417.7109375,,,,
56,56,,42355.33984375,,,
56,56,42355.33984375,,,,
57,57,,42288.6953125,,,
57,57,42288.6953125,,,,
58,58,,42217.47265625,,,
58,58,42217.47265625,,,,
59,59,,42141.3671875,,,
59,59,42141.3671875,,,,
60,60,,42060.08203125,,,
60,60,42060.08203125,,,,
61,61,,41973.26171875,,,
61,61,41973.26171875,,,,
62,62,,41880.52734375,,,
62,62,41880.52734375,,,,
63,63,,41781.44140625,,,
63,63,41781.44140625,,,,
64,64,,41675.515625,,,
64,64,41675.515625,,,,
65,65,,41562.21875,,,
65,65,41562.21875,,,,
66,66,,41440.98828125,,,
66,66,41440.98828125,,,,
67,67,,41311.23046875,,,
67,67,41311.23046875,,,,
68,68,,41172.32421875,,,
68,68,41172.32421875,,,,
69,69,,41023.625,,,
69,69,41023.625,,,,
70,70,,40864.45703125,,,
70,70,40864.45703125,,,,
71,71,,40694.09375,,,
71,71,40694.09375,,,,
72,72,,40511.77734375,,,
72,72,40511.77734375,,,,
73,73,,40316.6875,,,
73,73,40316.6875,,,,
74,74,,40107.96875,,,
74,74,40107.96875,,,,
75,75,,39884.7109375,,,
75,75,39884.7109375,,,,
76,76,,39645.97265625,,,
76,76,39645.97265625,,,,
77,77,,39390.75,,,
77,77,39390.75,,,,
78,78,,39117.99609375,,,
78,78,39117.99609375,,,,
79,79,,38826.60546875,,,
79,79,38826.60546875,,,,
80,80,,38515.37890625,,,
80,80,38515.37890625,,,,
81,81,,38183.0703125,,,
81,81,38183.0703125,,,,
82,82,,37828.34375,,,
82,82,37828.34375,,,,
83,83,,37449.8515625,,,
83,83,37449.8515625,,,,
84,84,,37046.234375,,,
84,84,37046.234375,,,,
85,85,,36616.1796875,,,
85,85,36616.1796875,,,,
86,86,,36158.4453125,,,
86,86,36158.4453125,,,,
87,87,,35671.9140625,,,
87,87,35671.9140625,,,,
88,88,,35155.5859375,,,
88,88,35155.5859375,,,,
89,89,,34608.6328125,,,
89,89,34608.6328125,,,,
90,90,,34030.42578125,,,
90,90,34030.42578125,,,,
91,91,,33420.5390625,,,
91,91,33420.5390625,,,,
92,92,,32778.77734375,,,
92,92,32778.77734375,,,,
93,93,,32105.171875,,,
93,93,32105.171875,,,,
94,94,,31399.98046875,,,
94,94,31399.98046875,,,,
95,95,,30663.6796875,,,
95,95,30663.6796875,,,,
96,96,,29896.96875,,,
96,96,29896.96875,,,,
97,97,,29100.78125,,,
97,97,29100.78125,,,,
98,98,,28276.28125,,,
98,98,28276.28125,,,,
99,99,,27424.85546875,,,
99,99,27424.85546875,,,,
100,100,,26548.1015625,,,
100,100,26548.1015625,,,,
101,101,,25647.85546875,,,
101,101,25647.85546875,,,,
102,102,,24726.20703125,,,
102,102,24726.20703125,,,,
103,103,,23785.54296875,,,
103,103,23785.54296875,,,,
104,104,,22828.595703125,,,
104,104,22828.595703125,,,,
105,105,,21858.498046875,,,
105,105,21858.498046875,,,,
106,106,,20878.859375,,,
106,106,20878.859375,,,,
107,107,,19893.845703125,,,
