epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,18406.20703125,,,
0,0,18406.20703125,,,,
1,1,,17303.3203125,,,
1,1,17303.3203125,,,,
2,2,,16381.98828125,,,
2,2,16381.98828125,,,,
3,3,,15617.3388671875,,,
3,3,15617.3388671875,,,,
4,4,,14985.87890625,,,
4,4,14985.87890625,,,,
5,5,,14466.9755859375,,,
5,5,14466.9755859375,,,,
6,6,,14041.8984375,,,
6,6,14041.8984375,,,,
7,7,,13693.6767578125,,,
7,7,13693.6767578125,,,,
8,8,,13407.5302734375,,,
8,8,13407.5302734375,,,,
9,9,,13171.025390625,,,
9,9,13171.025390625,,,,
10,10,,12973.8271484375,,,
10,10,12973.8271484375,,,,
11,11,,12807.28125,,,
11,11,12807.28125,,,,
12,12,,12664.109375,,,
12,12,12664.109375,,,,
13,13,,12538.328125,,,
13,13,12538.328125,,,,
14,14,,12425.2763671875,,,
14,14,12425.2763671875,,,,
15,15,,12321.5419921875,,,
15,15,12321.5419921875,,,,
16,16,,12224.80078125,,,
16,16,12224.80078125,,,,
17,17,,12133.5673828125,,,
17,17,12133.5673828125,,,,
18,18,,12046.9453125,,,
18,18,12046.9453125,,,,
19,19,,11964.38671875,,,
19,19,11964.38671875,,,,
20,20,,11885.5048828125,,,
20,20,11885.5048828125,,,,
21,21,,11809.9677734375,,,
21,21,11809.9677734375,,,,
22,22,,11737.447265625,,,
22,22,11737.447265625,,,,
23,23,,11667.6103515625,,,
23,23,11667.6103515625,,,,
24,24,,11600.15625,,,
24,24,11600.15625,,,,
25,25,,11534.87109375,,,
25,25,11534.87109375,,,,
26,26,,11471.666015625,,,
26,26,11471.666015625,,,,
27,27,,11410.6181640625,,,
27,27,11410.6181640625,,,,
28,28,,11351.9482421875,,,
28,28,11351.9482421875,,,,
29,29,,11295.974609375,,,
29,29,11295.974609375,,,,
30,30,,11243.0361328125,,,
30,30,11243.0361328125,,,,
31,31,,11193.4267578125,,,
31,31,11193.4267578125,,,,
32,32,,11147.33984375,,,
32,32,11147.33984375,,,,
33,33,,11104.8447265625,,,
33,33,11104.8447265625,,,,
34,34,,11065.8857421875,,,
34,34,11065.8857421875,,,,
35,35,,11030.296875,,,
35,35,11030.296875,,,,
36,36,,10997.82421875,,,
36,36,10997.82421875,,,,
37,37,,10968.154296875,,,
37,37,10968.154296875,,,,
38,38,,10940.9423828125,,,
38,38,10940.9423828125,,,,
39,39,,10915.833984375,,,
39,39,10915.833984375,,,,
40,40,,10892.4970703125,,,
40,40,10892.4970703125,,,,
41,41,,10870.6396484375,,,
41,41,10870.6396484375,,,,
42,42,,10850.04296875,,,
42,42,10850.04296875,,,,
43,43,,10830.568359375,,,
43,43,10830.568359375,,,,
44,44,,10812.15234375,,,
44,44,10812.15234375,,,,
45,45,,10794.798828125,,,
45,45,10794.798828125,,,,
46,46,,10778.5419921875,,,
46,46,10778.5419921875,,,,
47,47,,10763.423828125,,,
47,47,10763.423828125,,,,
48,48,,10749.4638671875,,,
48,48,10749.4638671875,,,,
49,49,,10736.6484375,,,
49,49,10736.6484375,,,,
50,50,,10724.9189453125,,,
50,50,10724.9189453125,,,,
51,51,,10714.189453125,,,
51,51,10714.189453125,,,,
52,52,,10704.35546875,,,
52,52,10704.35546875,,,,
53,53,,10695.3017578125,,,
53,53,10695.3017578125,,,,
54,54,,10686.9169921875,,,
54,54,10686.9169921875,,,,
55,55,,10679.095703125,,,
55,55,10679.095703125,,,,
56,56,,10671.7451171875,,,
56,56,10671.7451171875,,,,
57,57,,10664.7880859375,,,
57,57,10664.7880859375,,,,
