epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
0,0,,67355.078125,,,
0,0,67355.078125,,,,
1,1,,66836.390625,,,
1,1,66836.390625,,,,
2,2,,66357.4921875,,,
2,2,66357.4921875,,,,
3,3,,65914.9453125,,,
3,3,65914.9453125,,,,
4,4,,65505.19921875,,,
4,4,65505.19921875,,,,
5,5,,65124.3828125,,,
5,5,65124.3828125,,,,
6,6,,64768.39453125,,,
6,6,64768.39453125,,,,
7,7,,64433.0703125,,,
7,7,64433.0703125,,,,
8,8,,64114.25,,,
8,8,64114.25,,,,
9,9,,63807.8984375,,,
9,9,63807.8984375,,,,
10,10,,63510.1796875,,,
10,10,63510.1796875,,,,
11,11,,63217.59765625,,,
11,11,63217.59765625,,,,
12,12,,62927.09765625,,,
12,12,62927.09765625,,,,
13,13,,62636.15234375,,,
13,13,62636.15234375,,,,
14,14,,62342.7265625,,,
14,14,62342.7265625,,,,
15,15,,62045.265625,,,
15,15,62045.265625,,,,
16,16,,61742.65625,,,
16,16,61742.65625,,,,
17,17,,61434.1484375,,,
17,17,61434.1484375,,,,
18,18,,61119.33984375,,,
18,18,61119.33984375,,,,
19,19,,60798.15234375,,,
19,19,60798.15234375,,,,
20,20,,60470.7109375,,,
20,20,60470.7109375,,,,
21,21,,60137.3984375,,,
21,21,60137.3984375,,,,
22,22,,59798.765625,,,
22,22,59798.765625,,,,
23,23,,59455.53515625,,,
23,23,59455.53515625,,,,
24,24,,59108.546875,,,
24,24,59108.546875,,,,
25,25,,58758.78125,,,
25,25,58758.78125,,,,
26,26,,58407.31640625,,,
26,26,58407.31640625,,,,
27,27,,58055.35546875,,,
27,27,58055.35546875,,,,
28,28,,57704.18359375,,,
28,28,57704.18359375,,,,
29,29,,57355.1875,,,
29,29,57355.1875,,,,
30,30,,57009.81640625,,,
30,30,57009.81640625,,,,
31,31,,56669.5703125,,,
31,31,56669.5703125,,,,
32,32,,56335.98046875,,,
32,32,56335.98046875,,,,
33,33,,56010.55078125,,,
33,33,56010.55078125,,,,
34,34,,55694.7265625,,,
34,34,55694.7265625,,,,
35,35,,55389.8828125,,,
35,35,55389.8828125,,,,
36,36,,55097.2109375,,,
36,36,55097.2109375,,,,
37,37,,54817.75,,,
37,37,54817.75,,,,
38,38,,54552.296875,,,
38,38,54552.296875,,,,
39,39,,54301.35546875,,,
39,39,54301.35546875,,,,
40,40,,54065.14453125,,,
40,40,54065.14453125,,,,
41,41,,53843.578125,,,
41,41,53843.578125,,,,
42,42,,53636.234375,,,
42,42,53636.234375,,,,
43,43,,53442.44140625,,,
43,43,53442.44140625,,,,
44,44,,53261.22265625,,,
44,44,53261.22265625,,,,
45,45,,53091.453125,,,
45,45,53091.453125,,,,
46,46,,52931.86328125,,,
46,46,52931.86328125,,,,
47,47,,52781.171875,,,
47,47,52781.171875,,,,
48,48,,52638.1171875,,,
48,48,52638.1171875,,,,
49,49,,52501.5546875,,,
49,49,52501.5546875,,,,
50,50,,52370.4921875,,,
50,50,52370.4921875,,,,
51,51,,52244.12109375,,,
51,51,52244.12109375,,,,
52,52,,52121.80078125,,,
52,52,52121.80078125,,,,
53,53,,52003.0859375,,,
53,53,52003.0859375,,,,
54,54,,51887.60546875,,,
54,54,51887.60546875,,,,
55,55,,51775.12109375,,,
55,55,51775.12109375,,,,
56,56,,51665.42578125,,,
56,56,51665.42578125,,,,
57,57,,51558.3125,,,
57,57,51558.3125,,,,
58,58,,51453.57421875,,,
58,58,51453.57421875,,,,
59,59,,51350.9375,,,
59,59,51350.9375,,,,
60,60,,51250.1015625,,,
60,60,51250.1015625,,,,
61,61,,51150.71484375,,,
61,61,51150.71484375,,,,
62,62,,51052.390625,,,
62,62,51052.390625,,,,
63,63,,50954.6875,,,
63,63,50954.6875,,,,
64,64,,50857.203125,,,
64,64,50857.203125,,,,
65,65,,50759.47265625,,,
65,65,50759.47265625,,,,
66,66,,50661.08203125,,,
66,66,50661.08203125,,,,
67,67,,50561.6171875,,,
67,67,50561.6171875,,,,
68,68,,50460.68359375,,,
68,68,50460.68359375,,,,
69,69,,50357.93359375,,,
69,69,50357.93359375,,,,
70,70,,50253.03125,,,
70,70,50253.03125,,,,
71,71,,50145.6796875,,,
71,71,50145.6796875,,,,
72,72,,50035.61328125,,,
72,72,50035.61328125,,,,
73,73,,49922.59765625,,,
73,73,49922.59765625,,,,
74,74,,49806.40625,,,
74,74,49806.40625,,,,
75,75,,49686.86328125,,,
75,75,49686.86328125,,,,
76,76,,49563.7890625,,,
76,76,49563.7890625,,,,
77,77,,49437.03125,,,
77,77,49437.03125,,,,
78,78,,49306.44140625,,,
78,78,49306.44140625,,,,
79,79,,49171.8828125,,,
79,79,49171.8828125,,,,
80,80,,49033.22265625,,,
80,80,49033.22265625,,,,
81,81,,48890.328125,,,
81,81,48890.328125,,,,
82,82,,48743.07421875,,,
82,82,48743.07421875,,,,
83,83,,48591.3203125,,,
83,83,48591.3203125,,,,
84,84,,48434.94140625,,,
84,84,48434.94140625,,,,
85,85,,48273.796875,,,
85,85,48273.796875,,,,
86,86,,48107.76953125,,,
86,86,48107.76953125,,,,
87,87,,47936.71875,,,
87,87,47936.71875,,,,
88,88,,47760.52734375,,,
88,88,47760.52734375,,,,
89,89,,47579.08203125,,,
89,89,47579.08203125,,,,
90,90,,47392.28125,,,
90,90,47392.28125,,,,
91,91,,47200.0234375,,,
91,91,47200.0234375,,,,
92,92,,47002.234375,,,
92,92,47002.234375,,,,
93,93,,46798.85546875,,,
93,93,46798.85546875,,,,
94,94,,46589.8125,,,
94,94,46589.8125,,,,
95,95,,46375.078125,,,
95,95,46375.078125,,,,
96,96,,46154.61328125,,,
96,96,46154.61328125,,,,
97,97,,45928.39453125,,,
97,97,45928.39453125,,,,
98,98,,45696.40234375,,,
98,98,45696.40234375,,,,
99,99,,45458.62109375,,,
